content,intent,Intent_number
Sharing the screenshot of the file which is missing,file,22
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-489cac73ee6b997cb9fd85da69c6c5b5 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-489cac73ee6b997cb9fd85da69c6c5b5/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-489cac73ee6b997cb9fd85da69c6c5b5 width=1216 height=688>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-489cac73ee6b997cb9fd85da69c6c5b5>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-489cac73ee6b997cb9fd85da69c6c5b5</a><OriginalName v=image_2020_07_31T14_09_48_978Z.png></OriginalName><FileSize v=362706></FileSize><meta type=photo originalName=image_2020_07_31T14_09_48_978Z.png></meta></URIObject>",O,4
"I was also thinking the same. But those are not same.In one file, Wine dataset is taken.In other file, Iris dataset is taken (19th Jan recording Time: 1:54:06)",need_help,23
"In the folder only one ipynb available, i.e, Decision_tree.ipynb.As per the recording, Sudhanshu Sir talked about another file &apos;Decision Tree.ipynb&apos;. He also mentioned in the video that this file is not available in the folder. he would be sharing it later.",dashboard_file_error,12
But it&apos;s fine <ss type=smile>:)</ss>,good_bye,17
I will try to understand the concepts from the given file,great,19
Thank you so much for your quick response  <ss type=smile>:)</ss>,Thank_you,8
I&apos;m really grateful to iNeuron team <ss type=smile>:)</ss>,Thank_you,8
HiThis is Deepak from DLCVNLP25thJuly batch.I do not see the recording for 17th Oct on my Dashboard.Could you please have a look at it?,recordings_not_avilable,13
Thank you <ss type=smile>:)</ss>,Thank_you,8
Hi Sir!This is Deepak from DLCVNLP25th July batch.I would be grateful if you could upload 17th October class recording.,dashboard_add_recording,26
Thank you so much! <ss type=smile>:)</ss>,Thank_you,8
"Actually I am pursuing my MSc in Data Analytics.I was having bootcamp during the weekend. Hence, I couldn&apos;t attend the classes on 17th and 18th Oct.Now I&apos;m going through the recordings.I feel so confident after attending the trainings from iNeuron. Thank you so much!",Thank_you,8
Hlw sir i m from Feb 22 ml batch.. I couldnt install mongodb compass.. everytime I try to install the process never gets completed. I can install the mongodb server without compass. So what should I do? How can I download mongodb compass,mongodb_installation,100
Sir my prblm is listed above .can u check it plz,need_help,23
Ohk sir.thank you,Thank_you,8
Hello,Greetings,0
Is there anyone,need_help,23
Sir I m from 22nd Feb ml batch.. I have a query regarding mongodb of virat sir&apos;s class. I have followed all the steps he said but my jupyter notebook comand doesn&apos;t reflect on mongodb compass. What should I do,mongodb_installation,100
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-d69585fd4589701edae5e7c0556bdd49 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-d69585fd4589701edae5e7c0556bdd49/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-d69585fd4589701edae5e7c0556bdd49 width=1536 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-d69585fd4589701edae5e7c0556bdd49>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-d69585fd4589701edae5e7c0556bdd49</a><OriginalName v=1588961706638.JPEG></OriginalName><FileSize v=113850></FileSize><meta type=photo originalName=1588961706638.JPEG></meta></URIObject>",O,4
Sir this is the code according to this it should create a new database in mongodb compass but when I printed it only shows the previous database names and not the new one that is created,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-353ef273668a26e5234636412d29693c url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-353ef273668a26e5234636412d29693c/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-353ef273668a26e5234636412d29693c width=1152.428730926684 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-353ef273668a26e5234636412d29693c>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-353ef273668a26e5234636412d29693c</a><OriginalName v=1588961951561.JPEG></OriginalName><FileSize v=325287></FileSize><meta type=photo originalName=1588961951561.JPEG></meta></URIObject>",O,4
This is compass interface,need_help,23
Sir I got it now thank you,Thank_you,8
"Hello sir, is there anyone?",Greetings,0
"Hello sir, is there anyone?",Greetings,0
"Sir I m from 22nd Feb ml batch. I am having a problem while using beautifulsoup4 in jupyter notebook. When I try to  import it, notebook throws error &apos;module not found&apos;. But when I try to install, it says already satisfied. So what should I do? How to activate beautifulsoup4 in jupyter notebook?",python_import_error,89
First I tried with base(root) environment.then I created an environment called webscrapper and updated beautiful soup library there. And then tried to run jupyter notebook with that env and kernel,need_help,23
Sir same error,need_help,23
Import beautifulsoup4 as bs,need_help,23
"It worked . I found that command on stack overflow yesterday but it was written don&apos;t try this above that..so I didn&apos;t tried it,instead I tried        &quot; !conda install &quot;",need_help,23
Hello sir is there anyone,Greetings,0
Sir I m practicing the webscrapper class taught by Virat sir and in between I m having some error which I couldn&apos;t figure out what&apos;s wrong with that...can u suggest me what&apos;s wrong there (I have replicated as sir&apos;s code) ,review_scrapping,41
There is a line of code where I have to separate comment boxes and find customer names from there .but when I m doing that I am getting this,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-0bf410092769b3dcf649e45c906a9495 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-0bf410092769b3dcf649e45c906a9495/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-0bf410092769b3dcf649e45c906a9495 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-0bf410092769b3dcf649e45c906a9495>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-0bf410092769b3dcf649e45c906a9495</a><OriginalName v=1589986656857.JPEG></OriginalName><FileSize v=249169></FileSize><meta type=photo originalName=1589986656857.JPEG></meta></URIObject>",O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-f789d59f04c7969da4cfbdf2ed2a94d7 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-f789d59f04c7969da4cfbdf2ed2a94d7/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-f789d59f04c7969da4cfbdf2ed2a94d7 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-f789d59f04c7969da4cfbdf2ed2a94d7>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-f789d59f04c7969da4cfbdf2ed2a94d7</a><OriginalName v=1589986809604.JPEG></OriginalName><FileSize v=344233></FileSize><meta type=photo originalName=1589986809604.JPEG></meta></URIObject>",O,4
Got this Same error sir,code_error,55
I found that I couldn&apos;t capture the product_html .. is it due to the request.get() function?,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-91cdd7d4d38f85a2d947da20991240a4 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-91cdd7d4d38f85a2d947da20991240a4/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-91cdd7d4d38f85a2d947da20991240a4 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-91cdd7d4d38f85a2d947da20991240a4>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-91cdd7d4d38f85a2d947da20991240a4</a><OriginalName v=1589987737231.JPEG></OriginalName><FileSize v=465448></FileSize><meta type=photo originalName=1589987737231.JPEG></meta></URIObject>",O,4
This is the code to get product html but it couldn&apos;t find . I m unable to find the error sir.can u suggest something,need_help,23
Yes sir I have checked the product link... Sir according to Virat sir tags don&apos;t change .and I have written same code as him but the product link I m getting was not right. It says link not found. The only problem I face is that I m not getting the product link. Everything else is. Working ,need_help,23
Yes sir I completely agree.what I mean was the structure remains same.so I write the code accordingly but don&apos;t know why I m not getting the required url.  I got an url but when I go to that link it says not found. Sir can I share  the ss of my code with yoy,need_help,23
Hello sir is there any one?,Greetings,0
Sir I have downloaded git cli .but during installation I m confused which options  to select .can u suggest something,github,78
Should I go with default option set up or any changes will be there,need_help,23
Sir I m trying to create a new project in pycharm.so I m creating a new conda  environment by clicking on project interpreter .but I can&apos;t create as an error says conda executable not found . I m unable to figure out what it means. Can u suggest something .what should I do to solve this,pycharm_connection,68
Hello sir is there anyone,Greetings,0
Sir I m trying to deploy my project in heroku .but when I m trying git commit -am &quot;make it better&quot;        it says please tell who r u.I have used a different mail than my mail saved at my pc.so what should I do,heroku_deployment,82
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-b5f2b0f2942efc691870458f987b428c url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-b5f2b0f2942efc691870458f987b428c/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-b5f2b0f2942efc691870458f987b428c width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-b5f2b0f2942efc691870458f987b428c>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-b5f2b0f2942efc691870458f987b428c</a><OriginalName v=1590171950498.JPEG></OriginalName><FileSize v=189319></FileSize><meta type=photo originalName=1590171950498.JPEG></meta></URIObject>",O,4
Should I run the command lines given there. I m worried if this could create a problem.so I m just clarifying should I do as it says to git config,need_help,23
Hello sir is there anyone?,Greetings,0
I m unable to install bs4 0.0.1 And I have googled a lot but didn&apos;t got any solutions. can u suggest something sir,need_help,23
Yes,Thank_you,8
Hello sir is there anyone?,Greetings,0
Sir I have installed bs4 in anaconda prompt.but when I import it in pycharm it says can&apos;t install. No channel found for installation.what should I do,python_import_error,89
Actually I m doing the review scrapper project and there I have bs=0.0.1 in my requirements.txt file and it asks me to install it.so I m trying to install it,python_requirements_install,85
Solved. thank you,Thank_you,8
Hello sir is there anyone,Greetings,0
I m from 22nd Feb ml batch.we have an assignment about webscrapping . Nothing specific is given there whether do deploy it locally or in cloud.,assignment_doubt,30
Locally it ran successfully.but I m having some problem while deploying to webserver. So what should I submit. is local server project will be okay or need to work and submit web server project,need_help,23
Hello sir is there anyone?,Greetings,0
"Sir I couldn&apos;t add new env in pycharm....when I go to create new env ,all steps works fine but at last the ok option is not showing and if I select existing env rather than new conda env then ok option shows.. can u suggest something",pycharm_connection,68
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-ac950137eb7935a26a7025f65aff4752 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-ac950137eb7935a26a7025f65aff4752/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-ac950137eb7935a26a7025f65aff4752 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-ac950137eb7935a26a7025f65aff4752>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-ac950137eb7935a26a7025f65aff4752</a><OriginalName v=1591461725803.JPEG></OriginalName><FileSize v=260610></FileSize><meta type=photo originalName=1591461725803.JPEG></meta></URIObject>",O,4
Sir can u see that ok option,need_help,23
Yes sir. ,Thank_you,8
Ok sir I got it what is wrong. I have  a doubt should I keep all the env created for my projects or I can delete them,need_help,23
Hello sir is there any one,Greetings,0
Sir I tried this command &quot; pip install -r requirements.txt&quot; in pycharm terminal ....but it couldn&apos;t install all the library and shows error for some libraries .can u suggest  something sir,python_requirements_install,85
I restarted pycharm and no error showing now. I think solved. Thanks for ur concern,great,19
"Hello sir ,is power bi certificate released?Someone sent me a link to search my certificate but that page is not loading..so can u suggest something",powerbi_certificate,39
Sir it shows only certificate option.. Is the certificate not generated for me?,powerbi_certificate,39
I haven&apos;t checked spam..I ll check ,Thank_you,8
Hello sir is there anyone,Greetings,0
Sir I want to know is there any criteria to fulfill  to join the internship?,internship_query,37
Yes sir I completely agree . I was little worried as the internship should start from today. And the mail suggest it will take some time. So yes everyone should get a chance and should continue if he/she performs.,internship_query,37
Ohk sir thank you .,Thank_you,8
Gd evng sir,Greetings,0
Is there anyone?,Greetings,0
Sir I recieved the certificate of data science architecture but I haven&apos;t attended that and I don&apos;t have access to that class. So can I get the dashboard access of that ?,Dashboard_access,11
<a href=mailto:tsrvmhptr@gmail.com>tsrvmhptr@gmail.com</a>,user_email,5
Sir what should I do .. enroll ?,need_help,23
Sir I m already enrolled,great,19
But I don&apos;t have the dashboard access,Dashboard_access,11
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-924e2a28ad33611c447f6bc53e45ae9e url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-924e2a28ad33611c447f6bc53e45ae9e/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-924e2a28ad33611c447f6bc53e45ae9e width=945.2307692307693 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-924e2a28ad33611c447f6bc53e45ae9e>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-924e2a28ad33611c447f6bc53e45ae9e</a><OriginalName v=1591889042806.JPEG></OriginalName><FileSize v=42668></FileSize><meta type=photo originalName=1591889042806.JPEG></meta></URIObject>",O,4
Sir this is what I got ,need_help,23
Got it.thank you,Thank_you,8
Hello sir is there anyone,Greetings,0
"Sir when I create an agent in dialogflow and checking it there only, it says GCP key required .what should I do",GCP_chatbot,102
But sir can&apos;t I work without GCP. It is asking card details,need_help,23
And I m just doing the test project I m doing the chatbot assignment,need_help,23
Hello sir is there anyone,Greetings,0
"Sir I m doing the dialogflow chatbot assignment. There when I created an intent and testing it, it says needed GCP key but my friends have done the project without key. So is it changed the rule now in dialogflow or something",GCP_chatbot,102
Sir solved,great,19
Hello sir is there anyone?,Greetings,0
Sir I got info that induction class was started in a internship batch .so I want to know when ll the task will be given or what ll be the timeline to complete the task. It&apos;s because I have to attend a mrg function from 28 th to 2 July and if internship tasks will be given in between them I ll prepare myself or I may cancel the plan to attend the function. So can u help me what to do,internship_query,37
"Sir I want an expected date or timeline according to ur experience because the mrg is in a rural area and I may not have internet or electricity. So if I get the info now ,then I can cancel the trip now. ",need_help,23
Hello sir is there any one,Greetings,0
Sir my internship meeting is tomorrow . And those who ll not attend will not go further. But I requested many times through mail and this medium that I have a family function in rural area so I may not be able  to  attend the session. So I asked to pls suggest me whether I should cancel the trip or not. But no response was given . And now I m in a rural area and I need atleast 3 days to move from here as transport problem is there. So what should I do?Will  I lose my internship chance?,internship_query,37
Ml masters Feb 22nd,batch_details,9
No going on only ml part is left,need_help,23
Ohk but what about the mail about internship ,internship_query,37
All my batchmates will attend .right?,need_help,23
Sir so what is the final call?Is it ok if I don&apos;t attend tomorrow meeting?Will get a chance after our course completion?,need_help,23
I have applied for internship as I got a mail to fill the form,internship_query,37
Yes sir,good_bye,17
Ohk sir . thank you,Thank_you,8
Helllo sir is there anyone?,Greetings,0
"Sir I have forgot my Canvas password. When I clicked forget password ,it should send me the password. But I didn&apos;t get any mail. What should I do",need_help,23
My registered mail is - <a href=mailto:tsrvmhptr@gmail.com>tsrvmhptr@gmail.com</a>,user_email,5
Is there anyone sir?,Greetings,0
I was unable to attend the yesterday internship session.can I get the form which all others have filled?,internship_query,37
Hello sir is there anyone?,Greetings,0
Sir I m trying to implement amazon lex chat bot. I hv done the send email part but when I m trying to test it with postman an error says that server couldn&apos;t understand the request sent by browser,postman_error,103
Sure wait a sec,sure,18
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-793f15b9d3a55c4fc651f7094781baa6 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-793f15b9d3a55c4fc651f7094781baa6/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-793f15b9d3a55c4fc651f7094781baa6 width=1152.428730926684 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-793f15b9d3a55c4fc651f7094781baa6>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-793f15b9d3a55c4fc651f7094781baa6</a><OriginalName v=1596123253927.JPEG></OriginalName><FileSize v=137117></FileSize><meta type=photo originalName=1596123253927.JPEG></meta></URIObject>",O,4
Can u see it properly sir?,need_help,23
Ohk,good_bye,17
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d4-0ee98ae8d4f0d5d3aea376f3e8feef59 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d4-0ee98ae8d4f0d5d3aea376f3e8feef59/views/imgt1_anim type=Picture.1 doc_id=0-sa-d4-0ee98ae8d4f0d5d3aea376f3e8feef59 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-0ee98ae8d4f0d5d3aea376f3e8feef59>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d4-0ee98ae8d4f0d5d3aea376f3e8feef59</a><OriginalName v=1596123433219.JPEG></OriginalName><FileSize v=170854></FileSize><meta type=photo originalName=1596123433219.JPEG></meta></URIObject>",O,4
It ll take 2 3 pics. It is exactly the same code that is available in dashboard,need_help,23
Which part should I send,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d5-a7e65f76b6769932a5cebf4dfa2b017b url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d5-a7e65f76b6769932a5cebf4dfa2b017b/views/imgt1_anim type=Picture.1 doc_id=0-sa-d5-a7e65f76b6769932a5cebf4dfa2b017b width=1152.428730926684 height=2048>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-a7e65f76b6769932a5cebf4dfa2b017b>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d5-a7e65f76b6769932a5cebf4dfa2b017b</a><OriginalName v=1596123995967.JPEG></OriginalName><FileSize v=144891></FileSize><meta type=photo originalName=1596123995967.JPEG></meta></URIObject>",O,4
The lambda function?,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-2c0f8cd2fcc0eea69392d12654d9f538 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-2c0f8cd2fcc0eea69392d12654d9f538/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-2c0f8cd2fcc0eea69392d12654d9f538 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-2c0f8cd2fcc0eea69392d12654d9f538>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-2c0f8cd2fcc0eea69392d12654d9f538</a><OriginalName v=1596124143677.JPEG></OriginalName><FileSize v=398096></FileSize><meta type=photo originalName=1596124143677.JPEG></meta></URIObject>",O,4
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-fb381a9f151dd8753cf9f7ed199da4e5 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-fb381a9f151dd8753cf9f7ed199da4e5/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-fb381a9f151dd8753cf9f7ed199da4e5 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-fb381a9f151dd8753cf9f7ed199da4e5>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-fb381a9f151dd8753cf9f7ed199da4e5</a><OriginalName v=1596124305459.JPEG></OriginalName><FileSize v=152992></FileSize><meta type=photo originalName=1596124305459.JPEG></meta></URIObject>",O,4
Then everything is unchanged .only the password is changed by me.everything else is same,need_help,23
Sir r u there,Greetings,0
I have changed but no success,need_help,23
Thank you so much sir,Thank_you,8
It took my whole evening to find that silly mistake Sry fr troubling you,Thank_you,8
Hello sir is there anyone,Greetings,0
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-006355c99cbf5cde2c016d46e90dc307 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-006355c99cbf5cde2c016d46e90dc307/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-006355c99cbf5cde2c016d46e90dc307 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-006355c99cbf5cde2c016d46e90dc307>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-006355c99cbf5cde2c016d46e90dc307</a><OriginalName v=1596186381915.JPEG></OriginalName><FileSize v=166274></FileSize><meta type=photo originalName=1596186381915.JPEG></meta></URIObject>",O,4
When I m testing through postman it says browser doesn&apos;t support cross originnrequest,postman_error,103
What shoul I do,need_help,23
But can&apos;t I do this with browser,need_help,23
Yesterday it was working,need_help,23
Ohk..is the desktop version more useful? Then I will install it for future use,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d6-6ca0c6eaf3c0d4f12936ecc5165daf41 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d6-6ca0c6eaf3c0d4f12936ecc5165daf41/views/imgt1_anim type=Picture.1 doc_id=0-sa-d6-6ca0c6eaf3c0d4f12936ecc5165daf41 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-6ca0c6eaf3c0d4f12936ecc5165daf41>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d6-6ca0c6eaf3c0d4f12936ecc5165daf41</a><OriginalName v=1596188312096.JPEG></OriginalName><FileSize v=170550></FileSize><meta type=photo originalName=1596188312096.JPEG></meta></URIObject>",O,4
Sir I could nt find what is the error here...error says the request you send that the server couldn&apos;t understand. It was working yesterday,need_help,23
Ohk ,good_bye,17
hello sir is there anyone?,Greetings,0
i have just one query.is there anyone?,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-a5353a89d03dfc013f41692f22a4ffdf url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-a5353a89d03dfc013f41692f22a4ffdf/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-a5353a89d03dfc013f41692f22a4ffdf width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-a5353a89d03dfc013f41692f22a4ffdf>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-a5353a89d03dfc013f41692f22a4ffdf</a><OriginalName v=1596212740231.JPEG></OriginalName><FileSize v=395854></FileSize><meta type=photo originalName=1596212740231.JPEG></meta></URIObject>",O,4
"Sir this is a lambda function in   amazon lex chatbot project. When I m testing the lambda function ,error says urls can&apos;t contain control characters . I m not able to understand that error. Can u help me with that. How can I find that error and solve it",code_error,55
"Hello sir ,is there anyone",Greetings,0
Sir r u there,Greetings,0
"Sir this is a lambda function in   amazon lex chatbot project. When I m testing the lambda function ,error says urls can&apos;t contain control characters . I m not able to understand that error. Can u help me with that. How can I find that error and solve it",code_error,55
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-2d530a6a33e382f696df4a2687b88f47 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-2d530a6a33e382f696df4a2687b88f47/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-2d530a6a33e382f696df4a2687b88f47 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-2d530a6a33e382f696df4a2687b88f47>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-2d530a6a33e382f696df4a2687b88f47</a><OriginalName v=1596212740231.JPEG></OriginalName><FileSize v=395854></FileSize><meta type=photo originalName=1596212740231.JPEG></meta></URIObject>",O,4
Sir can u suggest something .what is wrong,need_help,23
Ohk sir,good_bye,17
Should I put the code of lambda function there?,need_help,23
I have copy pasted the code available in dashboard ..but I ll check once again..,sure,18
sir i have checked in validator and it says valid json but still it shows error that urls cant contain control characters,need_help,23
yes sir ,good_bye,17
it asked to add a : on top . and then it shows valid json,need_help,23
"Code is valid but error is same. Are there any possibility that the .py have some problem,because lambda function redirect to the .py code?",code_error,55
Sure,good_bye,17
Sir which url ?,need_help,23
Ohk in the lambda code I have the url of ngrok .io/sendmail ,need_help,23
And in this url there is no space .I have given the scrnshot also. U can have a look,need_help,23
Sir there is no space.,need_help,23
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-14b4003d5ec1838bc36dab32cedc44b7 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-14b4003d5ec1838bc36dab32cedc44b7/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-14b4003d5ec1838bc36dab32cedc44b7 width=2048 height=1152>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-14b4003d5ec1838bc36dab32cedc44b7>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-14b4003d5ec1838bc36dab32cedc44b7</a><OriginalName v=1596212740231.JPEG></OriginalName><FileSize v=395854></FileSize><meta type=photo originalName=1596212740231.JPEG></meta></URIObject>",O,4
Sir in the lambda function I have only ngrok url.. and the error shown here is not there in lambda function... ,need_help,23
Should I check the .py file?,need_help,23
May be .I have to check,need_help,23
Ohk but can I check that in morning and get back here.because it&apos;s too late sir,sure,18
<ss type=yes>(y)</ss>,good_bye,17
Thanx again for your concern in this hour. ,Thank_you,8
hello sir is there anyone?,Greetings,0
sir I couldn&apos;t find the ipynb file of linear regression with which virat sir taught us. can you tell me where can I find that?/,dashboard_file_error,12
I have extracted it but didn&apos;t found anything,need_help,23
it has a static folder and all the pictures .no ipynb file is there,dashboard_file_error,12
sir can u please send me that file because I  don&apos;t see it here. if you want I can share the screenshot,dashboard_file_error,12
got it. thanx,Thank_you,8
"hello sir, when i click tab inside jupyter notebook to get info about a function but it is not showing details .what should i do ?",jupyter_notebook,63
yes,good_bye,17
ohk i have restarted it and it is worrking now,great,19
"hello sir, i m implementing the linear regression till cloud app .in this app i couldnt install mkt-fft,mkt-random and scikit learn  .so i want to know how can i install them and should i install them in pycharm or in anaconda. which will be better",python_requirements_install,85
sir when i do pip insstall scikit learn it says building wheel error . what to do?,need_help,23
The latest version which is shown in my jupyter notebook when I tried pip freeze,need_help,23
Ohk so do I change the version in requirements.txt as well?,need_help,23
How can I do that sir any suggestions?,need_help,23
I m actually working on logistic regression till cloud and in this the version used by me and our mentor is same,need_help,23
Ok let me check one more time,sure,18
sirr what to do for mkl-random?,need_help,23
sir the error is still there. i have scikit-learn==0.21.3 in jupyter and when i install it in pycharm it says building wheel error. what to do?,need_help,23
Sir told use the version shown in your jupyter notebook ,need_help,23
It was reffered to use 0.21.3 but in my conda env I have 0.21.2,need_help,23
And it is not installing 0.21.3 version In jupyter ?Or if  in conda (base or root)?,need_help,23
Sir in conda I have 0.21.2 ,need_help,23
Should I uninstall and install ?,need_help,23
Ok,good_bye,17
"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d7-1066e5a3fc59af56ea16a40f108f7697 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d7-1066e5a3fc59af56ea16a40f108f7697/views/imgt1_anim type=Picture.1 doc_id=0-sa-d7-1066e5a3fc59af56ea16a40f108f7697 width=2048 height=1536>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-1066e5a3fc59af56ea16a40f108f7697>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d7-1066e5a3fc59af56ea16a40f108f7697</a><OriginalName v=1597742187990.JPEG></OriginalName><FileSize v=75124></FileSize><meta type=photo originalName=1597742187990.JPEG></meta></URIObject>",O,4
Sir what should I do to solve this error?,code_error,55
sir i didnt get it. can u tell once again what to do?,need_help,23
sir should i send you the ss of the above code as i couldnt figure out what to change?,code_error,55
